Date,Lakelevel
2015-01-01,19.87
2015-01-02,19.87
2015-01-03,19.87
2015-01-04,19.87
2015-01-05,19.87
2015-01-06,19.87
2015-01-07,19.88
2015-01-08,19.88
2015-01-09,19.88
2015-01-10,19.89
2015-01-11,19.89
2015-01-12,19.89
2015-01-13,19.9
2015-01-14,19.92
2015-01-15,19.92
2015-01-16,19.92
2015-01-17,19.92
2015-01-18,19.92
2015-01-19,19.93
2015-01-20,19.93
2015-01-21,19.93
2015-01-22,19.94
2015-01-23,19.94
2015-01-24,19.94
2015-01-25,19.94
2015-01-26,19.94
2015-01-27,19.94
2015-01-28,19.94
2015-01-29,19.94
2015-01-30,19.96
2015-01-31,19.96
2015-02-01,19.96
2015-02-02,19.96
2015-02-03,19.96
2015-02-04,19.96
2015-02-05,19.96
2015-02-06,19.96
2015-02-07,19.96
2015-02-08,19.96
2015-02-09,19.96
2015-02-10,19.96
2015-02-11,19.96
2015-02-12,19.96
2015-02-13,19.96
2015-02-14,19.96
2015-02-15,19.96
2015-02-16,19.96
2015-02-17,19.96
2015-02-18,19.96
2015-02-19,19.96
2015-02-20,19.96
2015-02-21,19.96
2015-02-22,19.96
2015-02-23,19.96
2015-02-24,19.96
2015-02-25,19.96
2015-02-26,19.96
2015-02-27,19.96
2015-02-28,19.96
2015-03-01,19.96
2015-03-02,19.96
2015-03-03,19.96
2015-03-04,19.96
2015-03-05,19.97
2015-03-06,19.97
2015-03-07,19.97
2015-03-08,19.97
2015-03-09,19.97
2015-03-10,19.97
2015-03-11,19.97
2015-03-12,19.97
2015-03-13,19.97
2015-03-14,19.97
2015-03-15,19.97
2015-03-16,19.97
2015-03-17,19.97
2015-03-18,19.97
2015-03-19,19.97
2015-03-20,19.97
2015-03-21,19.98
2015-03-22,19.98
2015-03-23,19.98
2015-03-24,19.98
2015-03-25,19.98
2015-03-26,19.98
2015-03-27,19.98
2015-03-28,19.98
2015-03-29,19.98
2015-03-30,19.98
2015-03-31,19.98
2015-04-01,19.98
2015-04-02,19.98
2015-04-03,19.99
2015-04-04,19.99
2015-04-05,19.99
2015-04-06,19.99
2015-04-07,19.99
2015-04-08,20.0
2015-04-09,20.0
2015-04-10,20.0
2015-04-11,20.0
2015-04-12,20.0
2015-04-13,20.0
2015-04-14,20.0
2015-04-15,19.99
2015-04-16,19.99
2015-04-17,19.99
2015-04-18,19.99
2015-04-19,19.99
2015-04-20,19.99
2015-04-21,19.99
2015-04-22,19.99
2015-04-23,19.99
2015-04-24,19.98
2015-04-25,19.98
2015-04-26,19.98
2015-04-27,19.98
2015-04-28,19.98
2015-04-29,19.98
2015-04-30,19.98
2015-05-01,19.98
2015-05-02,19.98
2015-05-03,19.98
2015-05-04,19.97
2015-05-05,19.97
2015-05-06,19.97
2015-05-07,19.97
2015-05-08,19.97
2015-05-09,19.96
2015-05-10,19.96
2015-05-11,19.96
2015-05-12,19.95
2015-05-13,19.95
2015-05-14,19.95
2015-05-15,19.95
2015-05-16,19.94
2015-05-17,19.94
2015-05-18,19.94
2015-05-19,19.94
2015-05-20,19.94
2015-05-21,19.93
2015-05-22,19.93
2015-05-23,19.93
2015-05-24,19.93
2015-05-25,19.92
2015-05-26,19.92
2015-05-27,19.92
2015-05-28,19.92
2015-05-29,19.92
2015-05-30,19.92
2015-05-31,19.92
2015-06-01,19.92
2015-06-02,19.92
2015-06-03,19.92
2015-06-04,19.91
2015-06-05,19.91
2015-06-06,19.91
2015-06-07,19.9
2015-06-08,19.9
2015-06-09,19.89
2015-06-10,19.89
2015-06-11,19.89
2015-06-12,19.88
2015-06-13,19.88
2015-06-14,19.88
2015-06-15,19.88
2015-06-16,19.87
2015-06-17,19.87
2015-06-18,19.87
2015-06-19,19.86
2015-06-20,19.86
2015-06-21,19.86
2015-06-22,19.86
2015-06-23,19.86
2015-06-24,19.86
2015-06-25,19.86
2015-06-26,19.86
2015-06-27,19.86
2015-06-28,19.86
2015-06-29,19.86
2015-06-30,19.86
2015-07-01,19.86
2015-07-02,19.85
2015-07-03,19.85
2015-07-04,19.85
2015-07-05,19.85
2015-07-06,19.85
2015-07-07,19.85
2015-07-08,19.84
2015-07-09,19.84
2015-07-10,19.84
2015-07-11,19.84
2015-07-12,19.84
2015-07-13,19.83
2015-07-14,19.83
2015-07-15,19.83
2015-07-16,19.83
2015-07-17,19.83
2015-07-18,19.83
2015-07-19,19.83
2015-07-20,19.82
2015-07-21,19.82
2015-07-22,19.82
2015-07-23,19.81
2015-07-24,19.81
2015-07-25,19.81
2015-07-26,19.8
2015-07-27,19.8
2015-07-28,19.79
2015-07-29,19.79
2015-07-30,19.78
2015-07-31,19.78
2015-08-01,19.78
2015-08-02,19.78
2015-08-03,19.77
2015-08-04,19.77
2015-08-05,19.77
2015-08-06,19.76
2015-08-07,19.76
2015-08-08,19.75
2015-08-09,19.75
2015-08-10,19.74
2015-08-11,19.74
2015-08-12,19.73
2015-08-13,19.73
2015-08-14,19.72
2015-08-15,19.72
2015-08-16,19.72
2015-08-17,19.71
2015-08-18,19.71
2015-08-19,19.7
2015-08-20,19.7
2015-08-21,19.69
2015-08-22,19.69
2015-08-23,19.68
2015-08-24,19.68
2015-08-25,19.67
2015-08-26,19.67
2015-08-27,19.65
2015-08-28,19.65
2015-08-29,19.64
2015-08-30,19.64
2015-08-31,19.64
2015-09-01,19.64
2015-09-02,19.64
2015-09-03,19.64
2015-09-04,19.64
2015-09-05,19.64
2015-09-06,19.64
2015-09-07,19.64
2015-09-08,19.64
2015-09-09,19.64
2015-09-10,19.64
2015-09-11,19.64
2015-09-12,19.64
2015-09-13,19.64
2015-09-14,19.64
2015-09-15,19.64
2015-09-16,19.64
2015-09-17,19.63
2015-09-18,19.63
2015-09-19,19.63
2015-09-20,19.63
2015-09-21,19.63
2015-09-22,19.63
2015-09-23,19.63
2015-09-24,19.62
2015-09-25,19.62
2015-09-26,19.62
2015-09-27,19.62
2015-09-28,19.62
2015-09-29,19.62
2015-09-30,19.62
2015-10-01,19.62
2015-10-02,19.62
2015-10-03,19.62
2015-10-04,19.62
2015-10-05,19.62
2015-10-06,19.61
2015-10-07,19.61
