Date,Lakelevel
1985-01-01,20.21
1985-01-02,20.21
1985-01-03,20.22
1985-01-04,20.22
1985-01-05,20.22
1985-01-06,20.22
1985-01-07,20.22
1985-01-08,20.22
1985-01-09,20.22
1985-01-10,20.22
1985-01-11,20.22
1985-01-12,20.22
1985-01-13,20.22
1985-01-14,20.22
1985-01-15,20.22
1985-01-16,20.22
1985-01-17,20.22
1985-01-18,20.22
1985-01-19,20.22
1985-01-20,20.22
1985-01-21,20.22
1985-01-22,20.22
1985-01-23,20.22
1985-01-24,20.22
1985-01-25,20.22
1985-01-26,20.22
1985-01-27,20.22
1985-01-28,20.22
1985-01-29,20.22
1985-01-30,20.24
1985-01-31,20.24
1985-02-01,20.26
1985-02-02,20.26
1985-02-03,20.27
1985-02-04,20.27
1985-02-05,20.27
1985-02-06,20.28
1985-02-07,20.28
1985-02-08,20.28
1985-02-09,20.28
1985-02-10,20.28
1985-02-11,20.28
1985-02-12,20.28
1985-02-13,20.28
1985-02-14,20.28
1985-02-15,20.28
1985-02-16,20.28
1985-02-17,20.28
1985-02-18,20.28
1985-02-19,20.28
1985-02-20,20.28
1985-02-21,20.28
1985-02-22,20.28
1985-02-23,20.28
1985-02-24,20.28
1985-02-25,20.29
1985-02-26,20.29
1985-02-27,20.29
1985-02-28,20.29
1985-03-01,20.29
1985-03-02,20.29
1985-03-03,20.29
1985-03-04,20.29
1985-03-05,20.29
1985-03-06,20.29
1985-03-07,20.29
1985-03-08,20.29
1985-03-09,20.29
1985-03-10,20.29
1985-03-11,20.29
1985-03-12,20.29
1985-03-13,20.3
1985-03-14,20.3
1985-03-15,20.3
1985-03-16,20.3
1985-03-17,20.3
1985-03-18,20.3
1985-03-19,20.3
1985-03-20,20.3
1985-03-21,20.3
1985-03-22,20.3
1985-03-23,20.3
1985-03-24,20.3
1985-03-25,20.3
1985-03-26,20.3
1985-03-27,20.3
1985-03-28,20.3
1985-03-29,20.3
1985-03-30,20.31
1985-03-31,20.31
1985-04-01,20.31
1985-04-02,20.32
1985-04-03,20.32
1985-04-04,20.32
1985-04-05,20.32
1985-04-06,20.32
1985-04-07,20.32
1985-04-08,20.32
1985-04-09,20.32
1985-04-10,20.32
1985-04-11,20.32
1985-04-12,20.32
1985-04-13,20.32
1985-04-14,20.32
1985-04-15,20.31
1985-04-16,20.3
1985-04-17,20.3
1985-04-18,20.3
1985-04-19,20.29
1985-04-20,20.28
1985-04-21,20.28
1985-04-22,20.27
1985-04-23,20.26
1985-04-24,20.25
1985-04-25,20.25
1985-04-26,20.24
1985-04-27,20.24
1985-04-28,20.24
1985-04-29,20.24
1985-04-30,20.24
1985-05-01,20.24
1985-05-02,20.24
1985-05-03,20.25
1985-05-04,20.26
1985-05-05,20.26
1985-05-06,20.26
1985-05-07,20.25
1985-05-08,20.25
1985-05-09,20.24
1985-05-10,20.24
1985-05-11,20.24
1985-05-12,20.24
1985-05-13,20.24
1985-05-14,20.23
1985-05-15,20.22
1985-05-16,20.22
1985-05-17,20.22
1985-05-18,20.22
1985-05-19,20.2
1985-05-20,20.2
1985-05-21,20.19
1985-05-22,20.18
1985-05-23,20.18
1985-05-24,20.18
1985-05-25,20.18
1985-05-26,20.17
1985-05-27,20.17
1985-05-28,20.16
1985-05-29,20.16
1985-05-30,20.15
1985-05-31,20.15
1985-06-01,20.15
1985-06-02,20.14
1985-06-03,20.14
1985-06-04,20.14
1985-06-05,20.14
1985-06-06,20.14
1985-06-07,20.14
1985-06-08,20.14
1985-06-09,20.14
1985-06-10,20.16
1985-06-11,20.16
1985-06-12,20.16
1985-06-13,20.16
1985-06-14,20.15
1985-06-15,20.14
1985-06-16,20.14
1985-06-17,20.14
1985-06-18,20.14
1985-06-19,20.14
1985-06-20,20.14
1985-06-21,20.14
